seed,latent_dim,window_size,scored_points,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,16,16,10000,0.7320298039215688,0.3510306419263792,0.7436768403851758,0.3687488337231791,0.7573883726644716,0.362655505706954
2026,16,32,9984,0.6177673660223164,0.20739219880737014,0.644903979587045,0.2375122425749892,0.6481938758600199,0.2211979776476948
2026,16,64,9984,0.5403471239981141,0.16906757560055438,0.5880044414335893,0.1999309871054724,0.5782059361883434,0.18512526719538966
2026,16,128,9984,0.5395151265126512,0.16759558642459327,0.5859509623195488,0.1978559026529108,0.5768914721496015,0.18358089055295204
2026,32,16,10000,0.8080990588235294,0.4657563961119924,0.8131686736153382,0.474173778800637,0.8300963914335256,0.4761576026302587
2026,32,32,9984,0.6838004086122897,0.2502285044979422,0.708268087907908,0.2810558776079402,0.7136503266444372,0.26634278623980095
2026,32,64,9984,0.5785079757975797,0.18454033670894035,0.6136405997176371,0.21163097862439778,0.6109533109100216,0.1985945476254404
2026,32,128,9984,0.5580032610403898,0.17317419548250693,0.6002208815534922,0.20396863347322336,0.5929332899440374,0.1888070191664414
2026,64,16,10000,0.8838876078431374,0.6081267270096216,0.8747840963081899,0.6023989467017877,0.8983412363254222,0.6166499353914093
2026,64,32,9984,0.796020902090209,0.3805580653651748,0.7968093618973966,0.39771467405844285,0.8132711033313313,0.39102705976269353
2026,64,64,9984,0.6407499999999999,0.21789303619827086,0.6688426292046797,0.24510795152917592,0.6713372836366667,0.2337011389990167
2026,64,128,9984,0.6527313374194562,0.21717317068814365,0.6791913339116012,0.248909786571961,0.6804557574767518,0.23143718651708475
2026,128,16,10000,0.8854141960784314,0.5995031739558548,0.8742801197275163,0.5929185214258882,0.8986854109741182,0.6084289834477283
2026,128,32,9984,0.8828741159830268,0.5416627945135242,0.8697292659937337,0.5414309795764402,0.8913047273108704,0.5484814744693435
2026,128,64,9984,0.7215640421184975,0.27557779789317494,0.7402827254677337,0.30666846849023777,0.7469823068993391,0.29094169231756734
2026,128,128,9984,0.7119145057362879,0.2613717115142002,0.7202289832012432,0.28520739243246734,0.7308032905401766,0.27234569395661967
2042,16,16,10000,0.696464588235294,0.2971035713666246,0.7235746333617109,0.3294382856176236,0.7277297919605339,0.31475063611992643
2042,16,32,9984,0.5679356828539996,0.17674505936418852,0.6166408901523971,0.2115636829455005,0.6066667936212885,0.19542828447719454
2042,16,64,9984,0.5176568442558541,0.15784548640579488,0.57824476766442,0.19380339153853043,0.5606706141075037,0.1766541256360651
2042,16,128,9984,0.5164937529467232,0.15650507295305238,0.5752588178066007,0.1936417879344102,0.558784429194767,0.17452869426460035
2042,32,16,10000,0.7718460784313725,0.37600730176515845,0.790163142798934,0.39947892474569086,0.7996583653209861,0.3903666441371875
2042,32,32,9984,0.6553646864686469,0.2329148229222834,0.6919456477352723,0.26953312621933545,0.688504716225619,0.24960524072994794
2042,32,64,9984,0.5471236837969511,0.1678078670610129,0.6010282036095975,0.20252517039806772,0.5869679753476204,0.18568954455547756
2042,32,128,9984,0.560423778092095,0.1730088486502688,0.600162122352048,0.20357923080734353,0.5944290738763643,0.18920012233733943
2042,64,16,10000,0.7905002745098041,0.40909302228292593,0.7976715506863621,0.4254802958398349,0.812964439851908,0.42084283695983016
2042,64,32,9984,0.748012887002986,0.31911954313962837,0.7705091440742254,0.35130222877346096,0.776480723813477,0.33814427497787825
2042,64,64,9984,0.6283186390067578,0.20377014487097705,0.666528061258457,0.24004684890011196,0.6604682544133322,0.220470288741704
2042,64,128,9984,0.6118173031588874,0.19501361157210864,0.6438371607897271,0.22642474303616533,0.6432259294638586,0.21190740911083633
2042,128,16,10000,0.8362300784313724,0.47525601200301143,0.8426071155302604,0.4940243450295595,0.8563389590970978,0.48837635590077744
2042,128,32,9984,0.8252131070249883,0.4357154204936987,0.8359304574892388,0.4612286251546138,0.846011966321295,0.45261560308600113
2042,128,64,9984,0.7039385902876001,0.2552536307690627,0.7302942946072024,0.2907727903323112,0.7309493191915128,0.2722518801452865
2042,128,128,9984,0.6826333097595474,0.2377049179927575,0.7133349072955554,0.2763041109667064,0.7129856109847648,0.25822757039789784
2067,16,16,10000,0.6438334901960784,0.23658312159297187,0.6846641288055689,0.2808522238433068,0.6780890102038567,0.2571942361710107
2067,16,32,9984,0.5386564513594216,0.16256131131741866,0.5965120408879144,0.2008660693807316,0.5766545816566244,0.17972250855774402
2067,16,64,9984,0.5192158965896589,0.15324931275522433,0.5764606143557147,0.1901499157100568,0.5579333802816742,0.1704119086126982
2067,16,128,9984,0.5073019016187333,0.1497326281699584,0.5690193233426797,0.18677530280396934,0.5486226517821686,0.16731648529808332
2067,32,16,10000,0.7030766274509803,0.28292682900044225,0.7355588251437486,0.32803898572054657,0.735821488141783,0.3080241009641434
2067,32,32,9984,0.6200814081408141,0.19798863947318038,0.6548991638765406,0.23429670332110225,0.6491942504537095,0.21255972300278303
2067,32,64,9984,0.5404333647650479,0.15909929583569443,0.5924633219332947,0.1951867624411653,0.575848044091672,0.17508407679529092
2067,32,128,9984,0.5298129027188433,0.15511465722992432,0.5888021010172921,0.19389561887630344,0.5702266409769066,0.1735885409354849
2067,64,16,10000,0.7739697254901962,0.38571297746535926,0.7945151242264351,0.42359893829402206,0.8013700963190317,0.4085421874371059
2067,64,32,9984,0.7084827911362565,0.2774427091498942,0.7329054499868697,0.3169706454215351,0.7340747558831934,0.2940155383492448
2067,64,64,9984,0.5606601052962439,0.16655899239331634,0.6060825235552268,0.20013098904827561,0.5944330290207277,0.1817792870248034
2067,64,128,9984,0.5507346770391325,0.16381300875864957,0.6049436577345167,0.19953867055409202,0.5875143079266241,0.18045830702435692
2067,128,16,10000,0.7973795294117648,0.4155187181980939,0.8021376483215318,0.4390498032669739,0.8162315149977474,0.4286806889041535
2067,128,32,9984,0.7964372151500865,0.368729488836821,0.8095235459284712,0.4121653952186507,0.8172615488624583,0.3927524886317608
2067,128,64,9984,0.628676449787836,0.19347293693444023,0.6673626226141945,0.23005628350055324,0.6588203812808001,0.2104922078383406
2067,128,128,9984,0.5785389360364608,0.1707641577159739,0.6362430849068603,0.211161054875726,0.6178979981610004,0.19043595169058272
