seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,ci,16,16,0.6316232156862744,0.19461850750996157,0.6592657770511038,0.23032183706168313,0.6631153583921299,0.21552560408028618
2026,ci,16,32,0.6563069306930693,0.18746293544119721,0.6864182943395962,0.22492604749476963,0.6848402431470235,0.20807040451760184
2026,ci,16,64,0.6697913719943422,0.19568645533384169,0.7216288236333672,0.2546833361185059,0.7091711914905605,0.23024888729771914
2026,ci,16,128,0.6912537718057521,0.21137552848127733,0.7671919338288979,0.3148462047470496,0.7397992783414107,0.27067002487227954
2026,ci,32,16,0.5960200784313725,0.17555624763275518,0.6357265270248829,0.2151743829348085,0.6306044230129657,0.19507533812216563
2026,ci,32,32,0.5812134213421343,0.17613379694539077,0.6324556574485052,0.2246820460839672,0.6228077370599499,0.20235101260683963
2026,ci,32,64,0.6565076221907906,0.18858330871621906,0.7110371909043068,0.24705090707122018,0.6966060786248869,0.22214750135394717
2026,ci,32,128,0.6948341977054847,0.2138001441572447,0.7677384529731976,0.3116657311593361,0.7415308875165021,0.268746474295826
2026,ci,64,16,0.5902467450980392,0.17781935959005662,0.6236684914206018,0.2115518143328928,0.6235798486002506,0.1952868657194419
2026,ci,64,32,0.5393028445701713,0.15922914480026262,0.5893153139862959,0.1983266337241214,0.5786376503678609,0.1793637897997417
2026,ci,64,64,0.6555332390381895,0.230424070483032,0.7327452276980108,0.3650389736640707,0.7096752501895912,0.3139999229501247
2026,ci,64,128,0.688515873015873,0.21420679095398776,0.7634863847609747,0.3117144789101195,0.7363436737620084,0.26935733869858164
2026,ci,128,16,0.5581301176470588,0.16560860056960205,0.5976789792071582,0.19720251320122023,0.5942454137037391,0.18353412307068395
2026,ci,128,32,0.5436038032374666,0.16344637325600644,0.6038784303290208,0.21539618343496608,0.5896759223308857,0.19126208186451946
2026,ci,128,64,0.6337787207292158,0.21575412729754864,0.7110278555831013,0.3276901048946038,0.6871213106157984,0.28452609693347974
2026,ci,128,128,0.7285468332547541,0.29271921813729357,0.8178069024147673,0.46824331265578406,0.7839188915737302,0.3884186347559272
2042,ci,16,16,0.5399371764705883,0.15843312975462664,0.596609229706549,0.19514997633876788,0.5833956171110468,0.1782861203086524
2042,ci,16,32,0.5838686940122584,0.16675242673591195,0.630786256313313,0.20550122582500277,0.6213831882759615,0.18572602784470596
2042,ci,16,64,0.5872722772277228,0.16853938715685493,0.6450332988296067,0.2129040756686239,0.6301625063890248,0.19214450094507543
2042,ci,16,128,0.6019683718371837,0.1751787101277877,0.6714864448749138,0.2315679304240979,0.6491315283474007,0.20438554957518204
2042,ci,32,16,0.5673292156862745,0.17089415337351263,0.6130554044989811,0.20611009591567114,0.6042403628108082,0.18820463788149067
2042,ci,32,32,0.5303012729844413,0.15907762821491922,0.5946098864674342,0.20545764818691187,0.5758913067567705,0.18218473659074294
