seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,cd,16,16,0.9996777254901961,0.9979778958396297,0.9698215573383683,0.9430887863299414,0.9998644836149728,0.9989673795279566
2026,cd,16,32,0.9918727015558698,0.9508444575308637,0.9728310199505483,0.9137768559697255,0.9927081685683024,0.9537633902267797
2026,cd,16,64,0.9807090994813769,0.8883275824245583,0.9667993846667675,0.8643718556697471,0.9837158002372038,0.8960585668392671
2026,cd,16,128,0.9736727172717272,0.8321076350561357,0.969929529142132,0.8341818020414082,0.9785183549783334,0.8572394815471712
2026,cd,32,16,0.9998054117647059,0.9986029667178836,0.9787147694131245,0.9538077439361343,0.9999778562050524,0.9998164669515286
2026,cd,32,32,0.9996562156215621,0.9977391354323762,0.9845253365703986,0.9653129455325653,0.9998853780777298,0.9991094311747553
2026,cd,32,64,0.9905606632091781,0.9466009328246949,0.9789326803162354,0.9240771713986795,0.9930333956578156,0.9551972609703301
2026,cd,32,128,0.9803517208863746,0.8816162766924291,0.9740646202917963,0.8796763244143431,0.984637846619871,0.8981477620355559
2026,cd,64,16,0.9998745098039217,0.9991780622426293,0.9773188244479947,0.9534843417367229,0.9999838619955451,0.9998678611997662
2026,cd,64,32,0.9999288857457174,0.9995873561818616,0.9913602947288581,0.9765628631014948,0.9999858089159497,0.9998811954989912
2026,cd,64,64,0.9988006443501493,0.9917455204153427,0.9977590010226061,0.9908637975564456,0.9996312666333397,0.9973188780146398
2026,cd,64,128,0.9894351720886375,0.9416546404543275,0.9834899779414695,0.9300013682587076,0.9923991342441383,0.9519126022919657
2026,cd,128,16,0.9999009411764705,0.9993684015956612,0.978324773607922,0.953558637961803,0.9999874204355728,0.9998935233006264
2026,cd,128,32,0.9999401225836869,0.999662572791524,0.9903075287097999,0.9742261133451995,0.999988701030585,0.9998964416076814
2026,cd,128,64,0.9990535910733931,0.9937949835294055,0.9998563167365654,0.9992073890094437,0.9997360929279604,0.9981568476447165
2026,cd,128,128,0.9977326732673267,0.983491362967047,0.9992088954227892,0.9957867090661088,0.9991939800516088,0.993861457753281
2042,cd,16,16,0.9621591372549021,0.8610530981806297,0.940073087691071,0.8261245394425755,0.9674450531948116,0.8667705255660899
2042,cd,16,32,0.8752086280056577,0.610717048708519,0.8693274118795651,0.6112108351051622,0.8880024042730567,0.6221312561556565
2042,cd,16,64,0.8396235266383779,0.503214299008122,0.8429631179423176,0.5227268724672868,0.8577396982424231,0.5219511250660668
2042,cd,16,128,0.8264567028131384,0.4597470643018099,0.8321419794109649,0.4793869657156883,0.8462907711311446,0.4761585185446863
2042,cd,32,16,0.9999047843137254,0.9993959845247006,0.981690093959609,0.9577859409476139,0.9999839690869609,0.9998580379727008
2042,cd,32,32,0.9799897061134684,0.9244114671242095,0.9672202732894039,0.8974102202015215,0.9839900016896443,0.9324672016553199
2042,cd,32,64,0.8731875687568756,0.5986177658968019,0.8741675723550338,0.6124993828754581,0.8905072150780354,0.6187829763162859
2042,cd,32,128,0.8339269998428415,0.47872696978998397,0.8386937842738893,0.5005515778689722,0.8539033283279778,0.49809270923709004
2042,cd,64,16,0.9998265098039216,0.9988916793625991,0.9789868484283812,0.9556288732095837,0.9999788581707083,0.9998282750624267
2042,cd,64,32,0.9968542354235423,0.9853122772840387,0.9866191733515077,0.9585270535327284,0.9982731452694452,0.9907473733401637
2042,cd,64,64,0.9840144585887161,0.9377631842308396,0.9771689130585545,0.9263462600309431,0.990337489622724,0.9545922295527212
2042,cd,64,128,0.8655855728429986,0.57904979556635,0.86515903026259,0.5912158098025365,0.8831111019327316,0.5992141375357538
2042,cd,128,16,0.9999120784313725,0.999482369194795,0.9818895734547988,0.9590760266378149,0.9999866173519063,0.999881089318996
2042,cd,128,32,0.9958663366336634,0.9831760429674639,0.9861826122943637,0.9577919746416413,0.998007410201392,0.9900160931811247
2042,cd,128,64,0.9970353606789252,0.982390756931818,0.9977173111624403,0.9903953630291578,0.9992314586859123,0.9946534895691755
2042,cd,128,128,0.9644840484048405,0.8840763052646268,0.9627649163205827,0.8807165675694166,0.9745691248310258,0.9028097659652605
2067,cd,16,16,0.9870888627450981,0.9470512040777913,0.965831634350715,0.9058054540098721,0.9898666302956298,0.9517887543927621
2067,cd,16,32,0.9479854628319974,0.7935670146841911,0.9394095787870516,0.78333919562166,0.9578256854131039,0.8071524551849436
2067,cd,16,64,0.921070249882131,0.6761828142746067,0.9194220384029855,0.6820840744518532,0.9346734716545811,0.6993928670868473
2067,cd,16,128,0.905447823353764,0.6145009319400915,0.9092120860761063,0.6418626928597114,0.920806646024273,0.6383540811514259
2067,cd,32,16,0.9997380392156863,0.9983464914613758,0.9836553198194005,0.9612175264663774,0.9999659191579625,0.9997465864884851
2067,cd,32,32,0.9928713657079994,0.9658690557020722,0.9829095665574812,0.9468224777385824,0.9956139453151353,0.9765842130759024
2067,cd,32,64,0.9454240138299543,0.7965545510823699,0.9434020803039755,0.7954145472930547,0.9577374514264727,0.8141574036172522
2067,cd,32,128,0.9170901697312588,0.6682659863291617,0.919675200284346,0.6949184008559605,0.931658938204935,0.6950895326505612
2067,cd,64,16,0.9997417254901961,0.9983576349073359,0.9813727601081513,0.9592878329141228,0.999966972102946,0.9997491587692426
2067,cd,64,32,0.9988579286500079,0.9924379349142561,0.9854098324237068,0.9652758013350495,0.999754229925686,0.9980781443506097
2067,cd,64,64,0.9939359578815024,0.9636311125836083,0.996880468050055,0.9860837818433987,0.9983189896866416,0.9879965731954832
2067,cd,64,128,0.9439567028131384,0.7860462583604664,0.9473584890535715,0.8092672990054919,0.9580504020293864,0.8170325450880034
2067,cd,128,16,0.9996610196078431,0.9978082388009871,0.9806282603907676,0.9574842097459226,0.9999552133333678,0.9996683942037964
2067,cd,128,32,0.9925013358478706,0.9771652233936396,0.9669356083274128,0.9376363481319325,0.9973972298540174,0.9890677726675982
2067,cd,128,64,0.9973738016658809,0.9809807008616234,0.9996687043970737,0.9980233886877011,0.9991750975070639,0.9937178689724658
2067,cd,128,128,0.987461810466761,0.9441493917064737,0.9944805526784365,0.9752814044130746,0.9954693293847042,0.9735945461245401
