seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,ci,16,16,0.5721090196078431,0.16328067110489036,0.6212066722582198,0.198749948138157,0.6115556252442789,0.18186119449055643
2026,ci,16,32,0.5447268191104824,0.1707402707689126,0.6009226700845562,0.20621836074716576,0.5873094006304324,0.18958309497968415
2026,ci,16,64,0.5483494420870659,0.1720476796149715,0.6078332657215413,0.20989756173632237,0.5922478975991478,0.1923001480681992
2026,ci,16,128,0.5408144350149301,0.17153411644011046,0.5999168838076745,0.20830356035884232,0.5840492882753777,0.19077589950943108
2026,ci,32,16,0.5909933333333333,0.17117943206452033,0.6449262865974946,0.2091472826902392,0.6329617712073996,0.19115580051739947
2026,ci,32,32,0.5410339069621248,0.17369168433028548,0.6014504177855797,0.21093020533765383,0.5851214396823186,0.19386359069106732
2026,ci,32,64,0.5440194483734088,0.17307728561751884,0.6066643222334098,0.21155852877146394,0.5892893116865274,0.19397952428531218
2026,ci,32,128,0.5380927235580701,0.17090840809640645,0.5973638939872049,0.20774445127388155,0.5814109553215031,0.1904596693577757
2026,ci,64,16,0.5859037254901961,0.16986762531801927,0.6399290088662521,0.20775458531685398,0.6282308177487578,0.18985185928166085
2026,ci,64,32,0.5426097359735973,0.1735538615763444,0.6032846473977715,0.21065476557421237,0.5868645211305628,0.1936311367772334
2026,ci,64,64,0.5460676567656766,0.17556832618187496,0.6070340703317593,0.21331747227174783,0.590989638568313,0.19627038905029837
2026,ci,64,128,0.539110796793965,0.17148241711521958,0.5966213821487725,0.20748266277247365,0.5824453423283201,0.19100997824322496
2026,ci,128,16,0.5929420000000001,0.17206198836163683,0.6459068086363199,0.20950885426854288,0.6345247717903412,0.1917843828915359
2026,ci,128,32,0.5421156687097282,0.1742257589974463,0.6012548000469599,0.21078164250848627,0.5860269106617693,0.19392626218407888
2026,ci,128,64,0.5458250432186076,0.17629898533914146,0.60945706124916,0.2151429262712268,0.5915263488578174,0.1973323926230596
2026,ci,128,128,0.5447653229608675,0.17480568805851335,0.6067654958312616,0.2135852152264434,0.5902794761455937,0.19601703467135428
2042,ci,16,16,0.5388044705882353,0.15813453674194386,0.5927164223754028,0.19564756107909387,0.5785871417464878,0.1761390416795483
2042,ci,16,32,0.5230276991984913,0.1617875353680867,0.5826831771079795,0.20047758251056635,0.5665046057946912,0.1819596023828614
2042,ci,16,64,0.5195794829482948,0.1605210875951799,0.5818509654791252,0.19998946100267528,0.5641775259784786,0.18105140333383354
2042,ci,16,128,0.5127650086437214,0.157005283325174,0.5751888248706644,0.19611977663917798,0.5574071723263775,0.1771961491074663
2042,ci,32,16,0.5434682352941176,0.15875486313274148,0.5948606202408766,0.19589528405177772,0.5825623596972093,0.17664423152364225
2042,ci,32,32,0.524158376551941,0.16317605332909724,0.5830725272543289,0.20129365673572805,0.5669613153591551,0.18300033304042004
2042,ci,32,64,0.5236742102781706,0.16354751357041644,0.5863464697584894,0.20274643402473524,0.568367432297357,0.18398110903146217
2042,ci,32,128,0.5235537089423228,0.1627317123053118,0.5823444919630124,0.20028983066223432,0.5661074242051446,0.1819793387001151
2042,ci,64,16,0.5461693725490195,0.15972711956684313,0.5962835918909931,0.1954235172657032,0.5846009879229818,0.1770289110048721
2042,ci,64,32,0.5235325711142542,0.1630766967746409,0.5826766897174817,0.20199136745693266,0.566856206325883,0.1831250146886697
2042,ci,64,64,0.5290566163759234,0.16484504891258797,0.5895250151085556,0.20470798397429715,0.5727464185067364,0.18539791341186113
2042,ci,64,128,0.5244962674838912,0.16397067785447866,0.584644821972117,0.20339303799449412,0.5678039333255864,0.18430292065258497
2042,ci,128,16,0.5436989803921568,0.15892584065241677,0.5953704691257161,0.19614093563059942,0.5830633385256454,0.17699156174391575
2042,ci,128,32,0.525049033474776,0.1641513370320805,0.5840412673180878,0.2030565489640042,0.5680701395675866,0.18415823635724926
2042,ci,128,64,0.524992299229923,0.16586091122113744,0.5868149931533617,0.2059622068664381,0.5691410475644259,0.18650857975985208
2042,ci,128,128,0.5286716957410027,0.16516664970593242,0.5878694645542594,0.2048239613339065,0.5716202328972918,0.18533089640103834
2067,ci,16,16,0.552976,0.1574130728098977,0.6136639676191986,0.19709578312777223,0.595427762339401,0.17649701317190156
2067,ci,16,32,0.5028546283199749,0.15556684777412236,0.5727609893569918,0.19657424421442385,0.5480563872816976,0.1753602597558089
2067,ci,16,64,0.5003413877101996,0.15610144503926518,0.573161421959247,0.19938141600834566,0.5470977766469394,0.17742740324148484
2067,ci,16,128,0.495806419927707,0.15524263141935823,0.5676291350943183,0.19726920900031106,0.542408266797079,0.1761477461181883
2067,ci,32,16,0.5547694901960785,0.15832687066939058,0.6146011297057808,0.1973195085573092,0.5964122339194375,0.17683595614137523
2067,ci,32,32,0.5057179789407512,0.15789197458767376,0.5781061576651259,0.20033099069138094,0.5520635797620794,0.17874968392236879
2067,ci,32,64,0.504797776206192,0.15722031842255574,0.5772407838601115,0.20012251899992628,0.5517630861967928,0.17866522371390972
2067,ci,32,128,0.5033966682382524,0.1561737223995443,0.5741496185593591,0.1980151892537425,0.549469424368835,0.17688195706401935
2067,ci,64,16,0.5566116862745099,0.15866666235431892,0.6164972436343856,0.1978192153460656,0.5983321522568638,0.177453762155429
2067,ci,64,32,0.5059721436429357,0.15826867236217798,0.5794933894675116,0.2015990130653531,0.5528405897871269,0.17950254021830583
2067,ci,64,64,0.5065970061291843,0.15851970300658497,0.5796621859679459,0.2021390436169783,0.5540384006046581,0.1802856208940455
2067,ci,64,128,0.5042170752789564,0.15748205550942368,0.5771012236133183,0.20046877594395537,0.5512646108733259,0.17887497215667852
2067,ci,128,16,0.5622051764705882,0.16049695920549625,0.6211654791702653,0.19979299051087118,0.6038230822149858,0.1792874861478815
2067,ci,128,32,0.5075796401068678,0.15867742422321454,0.58093101336837,0.2017465035539992,0.5542616190493094,0.17985718770189799
2067,ci,128,64,0.5092589973283043,0.15940428066270795,0.581110344640742,0.20304750963667414,0.5562559533235489,0.18127087377300305
