seed,variant,latent_dim,window_size,AUC-ROC,AUC-PR,R-AUC-ROC,R-AUC-PR,VUS-ROC,VUS-PR
2026,ci,16,16,0.49282658823529407,0.1527221224204458,0.5552995968498319,0.18689878777195545,0.5363177798386396,0.17000083995119758
2026,ci,16,32,0.45300785792865006,0.15453797978675543,0.5262761318273932,0.18808378796690206,0.5010691768029807,0.17184933234404556
2026,ci,16,64,0.46012478390696215,0.155465879555374,0.5322067245020147,0.18834554745489512,0.5072562872894427,0.17180624135950706
2026,ci,16,128,0.4647463460631778,0.1563490623104621,0.5316775545622646,0.1885386366934425,0.5101062369669155,0.17255317645658375
2026,ci,32,16,0.49133407843137256,0.1535800920239953,0.5582261202153856,0.1889635392621714,0.5364329669632225,0.17139384905333627
2026,ci,32,32,0.45245992456388495,0.155093375804024,0.5253470804822937,0.18845866095029587,0.5006806493667202,0.17224215320366598
2026,ci,32,64,0.45704930850227876,0.15711921788047914,0.5274814537139785,0.19312828788653588,0.5035810138017877,0.173202787848623
2026,ci,32,128,0.45841411283985545,0.15678156691144754,0.5276562582094494,0.1896868055594805,0.5049246689893431,0.17407267821892963
2026,ci,64,16,0.4887737254901961,0.15333390329602764,0.5557091205071214,0.188506214239222,0.5341665742449794,0.1709110440158232
2026,ci,64,32,0.4518427235580701,0.15701129091109578,0.5227220261304635,0.19272022799600394,0.4995029995302305,0.1737403413384176
2026,ci,64,64,0.4505705641992771,0.1552452014011989,0.5234877158892736,0.18859829854658475,0.49827028604808044,0.17237325936482337
2026,ci,64,128,0.45421609303787525,0.15565413642811296,0.5256919818095882,0.18856438618512528,0.5013186476783029,0.17237592589618103
2026,ci,128,16,0.484133568627451,0.1516093211716049,0.5500671213758325,0.18581079974310044,0.5290357018889889,0.1688620361832591
2026,ci,128,32,0.4491923228037089,0.15568435889224622,0.520118177770227,0.188282083225705,0.49655715441395587,0.17244179257435702
2026,ci,128,64,0.44874371365708,0.15601592919981627,0.5209038074879109,0.18907539169738008,0.4960161218713088,0.1734841203236862
2026,ci,128,128,0.45163590287600186,0.15604973778128964,0.5213800937391406,0.187808422323085,0.4977710871476686,0.17212390516048984
2042,ci,16,16,0.4810149411764706,0.14872633944155222,0.5425705820857172,0.18751028460959085,0.5230812177409051,0.16663135251345512
2042,ci,16,32,0.4714691183404055,0.158090650787662,0.5400758703405515,0.19648404350242754,0.5183421019122076,0.178527619058108
2042,ci,16,64,0.4684498664152129,0.15728379057962993,0.5387059799505437,0.19935479612844043,0.51549530831193,0.17767828277443845
2042,ci,16,128,0.4667433600502907,0.15759828069261012,0.5366693907506828,0.20031896622280582,0.5142581703886282,0.1785547433954012
2042,ci,32,16,0.47858709803921573,0.14980720666486338,0.5409234333293009,0.18807188438405642,0.521303915660127,0.1680996648432035
2042,ci,32,32,0.4697040704070407,0.15951904050712107,0.5376182514976576,0.20123219144869756,0.5158939306091282,0.17954330646047262
2042,ci,32,64,0.4703718764733616,0.15977129711343957,0.5405836581104535,0.2003609483581994,0.5171998845599441,0.17962978915683125
2042,ci,32,128,0.4710005500550055,0.15912844746178836,0.5383800948802812,0.1966783418187823,0.5167839621421877,0.17908130525057936
2042,ci,64,16,0.4757669019607843,0.1507450173241175,0.5384138985184075,0.18889735094927368,0.5189755820170276,0.1691109291820484
2042,ci,64,32,0.46984826339776836,0.15973459216257746,0.5390021996449879,0.2012010565485293,0.5168571924953369,0.17980667653293003
